split,alias_class,run,period,field_G,frequency_MHz,phase_bin,x_spin_mid,direction_cos,direction_sin,release_residual,parent_release_ARA,time_us,count_weight,sample_bins
development,primary,EMU00069983,RF on,50.0,0.67745,0,0.03125,0.12462877334696948,-0.002711568576041823,0.1566962345164623,1.2622883885423122,2.52125861490111,193345.0,11
development,primary,EMU00069983,RF on,50.0,0.67745,1,0.09375,0.06235710777262551,0.01931083377282915,0.12259498004229341,1.2995188311271109,2.6588506036949444,198184.0,12
development,primary,EMU00069983,RF on,50.0,0.67745,2,0.15625,0.13025101672565015,0.03342452107353672,0.48100925209898143,1.272446207730378,2.4550478795214388,180858.0,9
development,primary,EMU00069983,RF on,50.0,0.67745,3,0.21875,0.08238890052990634,0.08802730191575497,-0.6723742608889957,1.287552360867276,2.5011275666008475,175537.0,9
development,primary,EMU00069983,RF on,50.0,0.67745,4,0.28125,0.06058590612950848,0.0857461358886751,-0.25554791929592025,1.3550072576583654,2.745182426895528,140063.0,8
development,primary,EMU00069983,RF on,50.0,0.67745,5,0.34375,0.07456684851557507,0.0982849125505918,-0.37179740862725874,0.8533207409177966,1.604354124989133,292818.0,11
development,primary,EMU00069983,RF on,50.0,0.67745,6,0.40625,0.01187124333545696,0.10637911369835958,-0.6916845943035407,0.7640831397369395,1.4077586541080527,347315.0,12
development,primary,EMU00069983,RF on,50.0,0.67745,7,0.46875,0.012937093801236537,0.09376402469554061,-0.04148797154669686,0.7551820114510082,1.3687527929027878,325689.0,11
development,primary,EMU00069983,RF on,50.0,0.67745,8,0.53125,0.014221731166088445,0.09061284168352153,-0.24208373701735061,0.81916784030891,1.509329518028664,333221.0,12
development,primary,EMU00069983,RF on,50.0,0.67745,9,0.59375,-0.02373612458849066,0.0685685777052673,0.19691030968218246,0.8215803279894209,1.4753670625766233,319640.0,11
development,primary,EMU00069983,RF on,50.0,0.67745,10,0.65625,-0.04643991270556831,0.08683804958261361,0.3738954668879331,0.8701492736011879,1.6054072010589824,320555.0,12
development,primary,EMU00069983,RF on,50.0,0.67745,11,0.71875,-0.09020882801970413,0.09344052058862591,-0.6803473609722062,0.9854832579410445,1.8743161766856853,258052.0,11
development,primary,EMU00069983,RF on,50.0,0.67745,12,0.78125,-0.04661718555792565,0.07379628870402496,0.12468705770416695,0.9084902748643506,1.6831526758620703,307972.0,12
