split,run,temperature_K,field_G,development_bins,future_bins,mode_variance_fraction,ara_matrix_00,ara_matrix_01,ara_matrix_10,ara_matrix_11,harmonic_frequency_MHz,harmonic_decay_per_us,observed_future_crossing_us,future_correlation_ara,rmse_ara_full,pattern_rmse_ara_full,crossing_time_ara_full_us,crossing_error_ara_full_us,rmse_persistence,pattern_rmse_persistence,crossing_time_persistence_us,crossing_error_persistence_us,rmse_ar1,pattern_rmse_ar1,crossing_time_ar1_us,crossing_error_ar1_us,rmse_diagonal,pattern_rmse_diagonal,crossing_time_diagonal_us,crossing_error_diagonal_us,rmse_harmonic,pattern_rmse_harmonic,crossing_time_harmonic_us,crossing_error_harmonic_us,rmse_wrong_orientation,pattern_rmse_wrong_orientation,crossing_time_wrong_orientation_us,crossing_error_wrong_orientation_us,rmse_broken_order,pattern_rmse_broken_order,crossing_time_broken_order_us,crossing_error_broken_order_us
development,EMU00069983,300.0,50.0,18,27,0.11487533746264128,-0.061674398054307154,-0.1143133818471528,-1.0616743980543075,-0.11431338184715363,3.23,2.0,2.9106094966939335,-0.17850990874574563,0.03710473542607836,0.023839382803254722,,3.3280002772808075,0.03157207296519644,0.023797720821748504,,3.3280002772808075,0.03376416706124137,0.023812192208456862,,3.3280002772808075,0.035732740616686735,0.02382854893520573,,3.3280002772808075,0.03233463846025648,0.023802188946832083,,3.3280002772808075,0.03650304789032533,0.023838984320673755,2.6165354126903724,0.29407408400356116,0.03331984369581438,0.023817124662981515,2.659738231415026,0.25087126527890735
development,EMU00069989,300.0,86.0,18,27,0.12117057423448051,0.44193764441659417,0.18136068583661985,-0.5580623555834058,0.18136068583661963,7.09,0.0,2.613681864321681,-0.00012295017658979358,0.03252213258482118,0.023240939279481097,,3.3280002772808075,0.032017266547302296,0.023235752438704856,,3.3280002772808075,0.03277565781878955,0.023243723890685887,,3.3280002772808075,0.03234360101453829,0.023239155793104923,,3.3280002772808075,0.0438858071404131,0.023409587462099448,3.0642201120545693,0.4505382477328883,0.03270907141555077,0.023242833034478695,,3.3280002772808075,0.03266002819545701,0.023242041046163984,,3.3280002772808075
development,EMU00069995,300.0,122.0,18,27,0.11941859791749809,0.11695763963216288,0.39981036859654556,-0.8830423603678367,0.3998103685965454,8.54,0.0,2.627998976670819,0.0015564683032139703,0.026196940401142853,0.0244797261935978,2.8117194588721977,0.1837204822013785,0.03208445744608694,0.0245339181364319,,3.3280002772808075,0.02631692805641478,0.024480350561076638,,3.3280002772808075,0.02578307504251574,0.024475656754530492,,3.3280002772808075,0.0426275970450856,0.02469514280139111,3.185062330016352,0.5570633533455327,0.02445811353083698,0.024468876340882493,2.8979242917372927,0.26992531506647355,0.026221555173407768,0.024483038100409856,2.7328819902034374,0.1048830135326182
development,EMU00070001,300.0,158.0,18,27,0.1115265658519743,-0.09769379441692055,0.07057928811285202,-1.0976937944169205,0.07057928811285213,1.19,0.75,2.715528844433399,-0.20496712958670024,0.027221221240894777,0.02385854667422717,,3.3280002772808075,0.04483526540831831,0.02405732073478378,,3.3280002772808075,0.027945222155642865,0.023863200535521944,,3.3280002772808075,0.027253540638949175,0.023857678412442948,,3.3280002772808075,0.02580670642075863,0.02385449660512111,2.941254259405961,0.22572541497256182,0.026989944217679643,0.023856405310110417,,3.3280002772808075,0.02650903278497749,0.023852292733647616,,3.3280002772808075
development,EMU00070007,300.0,194.0,18,27,0.10870202085828083,-0.31502181500622145,0.19352660601077376,-1.3150218150062214,0.19352660601077337,8.6,0.55,2.788274773616051,0.06764991400385242,0.027704672442337253,0.023448820913041048,2.8600018771619737,0.0717271035459226,0.09136383515303677,0.0248288279764863,,3.3280002772808075,0.028042801374612413,0.023450154992441866,,3.3280002772808075,0.027875012855146153,0.023448356689691825,,3.3280002772808075,0.03159214652609889,0.02348998134788177,3.0622543820819845,0.2739796084659334,0.029196754304892533,0.023456779759753046,2.8136785758796385,0.025403802263587405,0.028613085489050706,0.02345518176530478,2.813485677160446,0.025210903544394814
development,EMU00070013,300.0,230.0,18,27,0.11431766385780179,0.07419881498600259,-0.007272208769327779,-0.9258011850139976,-0.007272208769327897,7.82,2.0,2.9123674079094934,0.03304215759416255,0.026808163778165636,0.02317199961838332,,3.3280002772808075,0.06421151203111042,0.023804755895401014,,3.3280002772808075,0.027020723569072355,0.02317437029252125,,3.3280002772808075,0.02675852915479976,0.02317145320374303,,3.3280002772808075,0.024412205073369386,0.02314956467844487,,3.3280002772808075,0.026972930112752473,0.023173629538798767,,3.3280002772808075,0.022531398813667464,0.02313544790659112,2.6820932236310098,0.23027418427848367
development,EMU00070019,300.0,266.0,18,27,0.2198271540313439,0.8462429234184856,-0.2942724945544377,-0.15375707658151463,-0.2942724945544375,7.59,0.0,2.992366457054119,-0.3311341480144974,0.06466053848895263,0.024874200959518266,,3.3280002772808075,0.042903437275507834,0.024481093324548106,,3.3280002772808075,0.04834809350813848,0.024563012140842392,,3.3280002772808075,0.05298156944199726,0.024641408495389146,,3.3280002772808075,0.09694054253021737,0.026065599480720913,2.9360627860395896,0.05630367101452949,0.09613161870911745,0.025743338545072048,,3.3280002772808075,0.028829537417634374,0.024359626833224377,,3.3280002772808075
development,EMU00070025,300.0,302.0,18,27,0.11991073536913063,0.4464151038425428,-0.4851204697703086,-0.5535848961574577,-0.485120469770309,7.81,0.0,2.8670475559039468,0.02453873300723007,0.037503693898018144,0.024242447575041667,,3.3280002772808075,0.02721766510910879,0.024122004744392137,,3.3280002772808075,0.027189586703212296,0.024124790312160558,,3.3280002772808075,0.027528681190255658,0.024128963449429743,,3.3280002772808075,0.13043879909700887,0.026753722614956205,,3.3280002772808075,0.045101860963355465,0.024357299800462234,2.6907823279277827,0.17626522797616406,0.027162670499577928,0.024127190769641906,,3.3280002772808075
development,EMU00070031,300.0,338.0,18,27,0.1267384413410507,-0.2158347896605408,0.3454938225517137,-1.2158347896605426,0.34549382255171157,6.86,0.0,3.0293084437244837,0.406596452919519,0.03253501060517398,0.023995936187007755,2.8631986537816667,0.166109789942817,0.05765292702143461,0.024387367346936587,,3.3280002772808075,0.03563751717436962,0.024035797352027995,2.6834172585180878,0.34589118520639595,0.03548062740847346,0.02402973021621204,,3.3280002772808075,0.053034639466434656,0.024208489159280144,2.7216893351763396,0.3076191085481441,0.03494837506660647,0.02402895867352317,2.628075653998861,0.40123278972562293,0.03621104622751094,0.02404270513431817,2.6939775209637777,0.335330922760706
development,EMU00070037,300.0,374.0,18,27,0.13462793411575602,-0.37419813823012515,0.2776962778660493,-1.3741981382301247,0.2776962778660491,6.92,1.1500000000000001,2.7401268507790015,-0.01041338842913696,0.02584336558691485,0.02374978965565174,,3.3280002772808075,0.0646803016990488,0.024229282634782433,,3.3280002772808075,0.02550928245971928,0.02374803764378693,,3.3280002772808075,0.025807651835686896,0.023750668855075062,,3.3280002772808075,0.026368237407746895,0.023752689304533225,2.733975586367285,0.006151264411716539,0.0317954648637351,0.02379671163499687,2.805439551473709,0.06531270069470763,0.026707013254705016,0.023753670053130154,2.917423742259837,0.1772968914808355
development,EMU00070043,300.0,410.0,18,27,0.10965972531857864,-0.2881394621927617,0.1345471979023351,-1.2881394621927622,0.13454719790233502,10.31,0.0,2.7886149174427515,0.11224394045730669,0.035069431647324366,0.023986590093432483,2.8041997891036106,0.01558487166085909,0.09761251843062838,0.0252718327339455,,3.3280002772808075,0.03675751497594672,0.023999806059925594,2.683503558148111,0.10511135929464066,0.03619461983212117,0.023994291510940294,2.6878231143881703,0.10079180305458113,0.04010762464710177,0.024060234006227612,2.73691602254229,0.05169889490046131,0.035060253538418795,0.023987731845561546,2.803911247674202,0.015296330231450384,0.03507398508763785,0.023984551358800118,2.777892758850484,0.010722158592267661
development,EMU00070049,300.0,446.0,18,27,0.12753540141027206,-0.5513711811057526,0.3542249492102828,-1.551371181105753,0.3542249492102828,9.55,0.2,2.795933634922767,-0.24201888567765723,0.0383546004006424,0.024131992999448043,2.6456496130773997,0.15028402184536738,0.06294168925848341,0.02459944949903477,,3.3280002772808075,0.03673971793165633,0.024122388204377353,2.6116547029878774,0.18427893193488964,0.03656486653373147,0.024125205039768987,2.6172137781115046,0.17871985681126246,0.04873031665858551,0.024263138434105144,2.793962229049848,0.0019714058729189965,0.04249317785255312,0.02418153005573703,2.773781729920193,0.022151905002574246,0.03654764223987123,0.024123866876597108,,3.3280002772808075
development,EMU00070055,300.0,482.0,18,27,0.11152100753858082,-0.6338811992693337,0.538607395149889,-1.6338811992693334,0.5386073951498885,5.59,0.0,3.102650853326169,0.00024624647254014264,0.026208114539691758,0.024436578395700757,2.825206874449851,0.2774439788763181,0.03560429747162938,0.024563926796408085,,3.3280002772808075,0.0255902450107058,0.024433876139289375,2.6300912490392974,0.4725596042868716,0.025387124231696742,0.02443322059266777,,3.3280002772808075,0.036201192101288325,0.024522360246400622,2.7179229949237707,0.3847278584023983,0.028595860254660384,0.024465796770336546,2.797494186437684,0.3051566668884851,0.025211997141059334,0.0244355861862229,,3.3280002772808075
validation,EMU00069986,300.0,68.0,18,27,0.13175517568379938,0.19376618470728155,-0.0855704962331954,-0.8062338152927181,-0.08557049623319533,7.18,0.0,2.6750297713691564,-0.05149831904600163,0.029720069076960808,0.023659116428329942,,3.3280002772808075,0.05698125785595592,0.02405066317102043,,3.3280002772808075,0.02891355266940379,0.023653028867585676,2.6884848527364893,0.013455081367332866,0.029357797197044982,0.02365531364795569,,3.3280002772808075,0.04248465971350624,0.023790993896432026,3.394749880986435,0.7197201096172785,0.029485506462710694,0.02365329047597789,,3.3280002772808075,0.030149530317043444,0.023661335374852377,,3.3280002772808075
