rank,gap_0,gap_1,gap_2,gap_3,ara_0_bin,ara_1_bin,ara_2_bin,ara_0_center,ara_1_center,ara_2_center,count,probability,local_information_bits,signed_contribution_bits_per_reading,top_prediction_changes
1,2,4,8,6,8,8,5,1.4166666666666667,1.4166666666666667,0.9166666666666666,325353,0.008914914115109428,2.271307202369525,0.020248508638153785,True
2,4,6,12,2,7,8,1,1.25,1.4166666666666667,0.25,180942,0.0049579453388047135,2.7300980595456363,0.01353567694880408,True
3,6,4,2,4,4,4,8,0.75,0.75,1.4166666666666667,495523,0.013577698644430414,0.8029123151952618,0.010901701453623193,False
4,2,6,10,2,9,7,2,1.5833333333333333,1.25,0.4166666666666667,162258,0.004445989846380472,2.0903774955818792,0.009293797120459274,True
5,2,10,6,2,10,4,3,1.75,0.75,0.5833333333333334,162258,0.004445989846380472,2.0836558433511585,0.00926391272289059,True
6,6,2,6,6,3,9,6,0.5833333333333334,1.5833333333333333,1.0833333333333333,325353,0.008914914115109428,1.0162393595416663,0.009059686610707766,False
7,2,4,2,10,8,4,10,1.4166666666666667,0.75,1.75,205219,0.005623153189884961,1.5741008428501821,0.008851410175673606,True
8,6,6,2,6,6,3,9,1.0833333333333333,0.5833333333333334,1.5833333333333333,325353,0.008914914115109428,0.9095291007329366,0.00810837381822684,False
9,2,12,4,2,10,3,4,1.75,0.5833333333333334,0.75,141196,0.0038688753858024693,2.093361268776929,0.008098953886363287,True
10,2,10,12,2,10,6,1,1.75,1.0833333333333333,0.25,86640,0.0023740004208754207,3.3254160061832394,0.007894538998264871,True
11,2,6,4,2,9,4,4,1.5833333333333333,0.75,0.75,435456,0.011931818181818182,0.6574602443402241,0.00784469609724131,True
12,6,4,2,10,4,4,10,0.75,0.75,1.75,268968,0.0073699231902356905,1.0247849011674115,0.007552586008117096,False
13,6,8,4,2,6,4,4,1.0833333333333333,0.75,0.75,325353,0.008914914115109428,0.8094931831799109,0.00721656220481545,True
14,4,6,14,4,7,8,2,1.25,1.4166666666666667,0.4166666666666667,91094,0.002496043332631874,2.825698897731385,0.007053066893707659,True
15,8,6,4,2,5,4,4,0.9166666666666666,0.75,0.75,321397,0.008806516773639169,0.7755500977730322,0.006829894944835705,True
16,6,10,6,6,7,4,6,1.25,0.75,1.0833333333333333,73254,0.002007214067760943,3.378826701399405,0.006782028487575188,True
17,4,8,10,2,8,6,2,1.4166666666666667,1.0833333333333333,0.4166666666666667,90960,0.002492371632996633,2.603104749861534,0.006487904436273683,True
18,8,6,10,2,5,7,2,0.9166666666666666,1.25,0.4166666666666667,94758,0.002596439656986532,2.4120805669361087,0.00626282163983947,True
19,2,4,2,12,8,4,10,1.4166666666666667,0.75,1.75,141196,0.0038688753858024693,1.5741008428501821,0.006090000005673991,True
20,2,4,12,2,8,9,1,1.4166666666666667,1.5833333333333333,0.25,141196,0.0038688753858024693,1.5372118656838467,0.005947281149907726,True
21,2,10,6,8,10,4,6,1.75,0.75,1.0833333333333333,94758,0.002596439656986532,2.2586398852739498,0.005864422168976794,True
22,6,2,4,8,3,8,8,0.5833333333333334,1.4166666666666667,1.4166666666666667,141196,0.0038688753858024693,1.5110348475908988,0.005846005528934214,False
23,8,4,2,4,4,4,8,0.75,0.75,1.4166666666666667,265286,0.0072690336524971946,0.8029123151952618,0.005836396639158793,False
24,2,4,8,10,8,8,6,1.4166666666666667,1.4166666666666667,1.0833333333333333,112722,0.003088666614057239,1.8766675288218304,0.005796400341957289,True
25,4,14,4,6,9,2,7,1.5833333333333333,0.4166666666666667,1.25,102258,0.0028019452335858587,2.027459885928834,0.005680831563664826,True
26,14,4,2,4,2,4,8,0.4166666666666667,0.75,1.4166666666666667,154383,0.004230208990951179,1.306646763070934,0.00552738888513992,False
27,10,2,4,6,2,8,7,0.4166666666666667,1.4166666666666667,1.25,268968,0.0073699231902356905,0.7463971529013873,0.005500889686293829,False
