number,remainder_3,x_3_fraction,x_3_decimal,handover_distance_3_fraction,handover_distance_3_decimal,direction_3,remainder_5,x_5_fraction,x_5_decimal,handover_distance_5_fraction,handover_distance_5_decimal,direction_5,remainder_9,x_9_fraction,x_9_decimal,handover_distance_9_fraction,handover_distance_9_decimal,direction_9,remainder_11,x_11_fraction,x_11_decimal,handover_distance_11_fraction,handover_distance_11_decimal,direction_11,remainder_13,x_13_fraction,x_13_decimal,handover_distance_13_fraction,handover_distance_13_decimal,direction_13,phase_a_waves,phase_a_tie_count,phase_a_distance_fraction,phase_a_distance_decimal,five_wave_order,approaching_count,leaving_count,on_handover_count,unresolved_by_five_children,phase_a_distance,approaching_count_value,is_prime,handover_distance_3,handover_distance_5,handover_distance_9,handover_distance_11,handover_distance_13
2021,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,11,1,6/11,0.545454545454545,11>3>9>13>5,3,2,0,1,0.545454545454545,3,0,0.666666666666667,1.6,0.888888888888889,0.545454545454545,1.07692307692308
2023,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,11,1,2/11,0.181818181818182,11>9>13>5>3,4,1,0,1,0.181818181818182,4,0,1.33333333333333,0.8,0.444444444444444,0.181818181818182,0.769230769230769
2025,0,0,0,0,0,on,0,0,0,0,0,on,0,0,0,0,0,on,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,3+5+9,3,0,0,3+5+9>13>11,1,1,3,0,0.0,1,0,0.0,0.0,0.0,1.81818181818182,0.461538461538462
2027,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,13,1,2/13,0.153846153846154,13>3>5>11>9,2,3,0,1,0.153846153846154,2,1,0.666666666666667,1.2,1.55555555555556,1.45454545454545,0.153846153846154
2029,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,5,1,2/5,0.4,5>11>9>3>13,1,4,0,1,0.4,1,1,1.33333333333333,0.4,1.11111111111111,1.09090909090909,1.84615384615385
2031,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,3,1,0,0,3>9>11>13>5,2,2,1,0,0.0,2,0,0.0,1.6,0.666666666666667,0.727272727272727,1.53846153846154
2033,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,9,1,2/9,0.222222222222222,9>11>3>5>13,4,1,0,1,0.222222222222222,4,0,0.666666666666667,0.8,0.222222222222222,0.363636363636364,1.23076923076923
2035,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,0,0,0,0,0,on,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,5+11,2,0,0,5+11>13>3>9,1,2,2,0,0.0,1,0,1.33333333333333,0.0,1.77777777777778,0.0,0.923076923076923
2037,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,3,1,0,0,3>13>5>9>11,1,3,1,0,0.0,1,0,0.0,1.2,1.33333333333333,1.63636363636364,0.615384615384615
2039,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,13,1,4/13,0.307692307692308,13>5>3>9>11,4,1,0,1,0.307692307692308,4,1,0.666666666666667,0.4,0.888888888888889,1.27272727272727,0.307692307692308
2041,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,0,0,0,0,0,on,13,1,0,0,13>9>11>3>5,2,2,1,0,0.0,2,0,1.33333333333333,1.6,0.444444444444444,0.909090909090909,0.0
2043,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,0,0,0,0,0,on,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,3+9,2,0,0,3+9>11>5>13,2,1,2,0,0.0,2,0,0.0,0.8,0.0,0.545454545454545,1.69230769230769
2045,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,5,1,0,0,5>11>3>13>9,2,2,1,0,0.0,2,0,0.666666666666667,0.0,1.55555555555556,0.181818181818182,1.38461538461538
2047,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,13,1,14/13,1.07692307692308,13>9>5>3>11,0,5,0,1,1.07692307692308,0,0,1.33333333333333,1.2,1.11111111111111,1.81818181818182,1.07692307692308
2049,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,3,1,0,0,3>5>9>13>11,3,1,1,0,0.0,3,0,0.0,0.4,0.666666666666667,1.45454545454545,0.769230769230769
2051,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,9,1,2/9,0.222222222222222,9>13>3>11>5,3,2,0,1,0.222222222222222,3,0,0.666666666666667,1.6,0.222222222222222,1.09090909090909,0.461538461538462
2053,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,13,1,2/13,0.153846153846154,13>11>5>3>9,3,2,0,1,0.153846153846154,3,1,1.33333333333333,0.8,1.77777777777778,0.727272727272727,0.153846153846154
2055,0,0,0,0,0,on,0,0,0,0,0,on,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,3+5,2,0,0,3+5>11>9>13,1,2,2,0,0.0,1,0,0.0,0.0,1.33333333333333,0.363636363636364,1.84615384615385
2057,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,0,0,0,0,0,on,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,11,1,0,0,11>3>9>5>13,2,2,1,0,0.0,2,0,0.666666666666667,1.2,0.888888888888889,0.0,1.53846153846154
2059,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,5,1,2/5,0.4,5>9>13>3>11,2,3,0,1,0.4,2,0,1.33333333333333,0.4,0.444444444444444,1.63636363636364,1.23076923076923
2061,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,0,0,0,0,0,on,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,3+9,2,0,0,3+9>13>11>5,1,2,2,0,0.0,1,0,0.0,1.6,0.0,1.27272727272727,0.923076923076923
2063,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,13,1,8/13,0.615384615384615,13>3>5>11>9,4,1,0,1,0.615384615384615,4,1,0.666666666666667,0.8,1.55555555555556,0.909090909090909,0.615384615384615
2065,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,5,1,0,0,5>13>11>9>3,2,2,1,0,0.0,2,0,1.33333333333333,0.0,1.11111111111111,0.545454545454545,0.307692307692308
2067,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,0,0,0,0,0,on,3+13,2,0,0,3+13>11>9>5,2,1,2,0,0.0,2,0,0.0,1.2,0.666666666666667,0.181818181818182,0.0
2069,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,9,1,2/9,0.222222222222222,9>5>3>13>11,3,2,0,1,0.222222222222222,3,1,0.666666666666667,0.4,0.222222222222222,1.81818181818182,1.69230769230769
2071,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,3,1,4/3,1.33333333333333,3>13>11>5>9,0,5,0,1,1.33333333333333,0,0,1.33333333333333,1.6,1.77777777777778,1.45454545454545,1.38461538461538
2073,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,3,1,0,0,3>5>13>11>9,1,3,1,0,0.0,1,0,0.0,0.8,1.33333333333333,1.09090909090909,1.07692307692308
2075,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,5,1,0,0,5>3>11>13>9,4,0,1,0,0.0,4,0,0.666666666666667,0.0,0.888888888888889,0.727272727272727,0.769230769230769
2077,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,11,1,4/11,0.363636363636364,11>9>13>5>3,3,2,0,1,0.363636363636364,3,0,1.33333333333333,1.2,0.444444444444444,0.363636363636364,0.461538461538462
2079,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,0,0,0,0,0,on,0,0,0,0,0,on,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,3+9+11,3,0,0,3+9+11>13>5,2,0,3,0,0.0,2,0,0.0,0.4,0.0,0.0,0.153846153846154
2081,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,3,1,2/3,0.666666666666667,3>9>5>11>13,1,4,0,1,0.666666666666667,1,1,0.666666666666667,1.6,1.55555555555556,1.63636363636364,1.84615384615385
2083,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,5,1,4/5,0.8,5>9>11>3>13,1,4,0,1,0.8,1,1,1.33333333333333,0.8,1.11111111111111,1.27272727272727,1.53846153846154
2085,0,0,0,0,0,on,0,0,0,0,0,on,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,3+5,2,0,0,3+5>9>11>13,2,1,2,0,0.0,2,0,0.0,0.0,0.666666666666667,0.909090909090909,1.23076923076923
2087,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,9,1,2/9,0.222222222222222,9>11>3>13>5,4,1,0,1,0.222222222222222,4,1,0.666666666666667,1.2,0.222222222222222,0.545454545454545,0.923076923076923
2089,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,11,1,2/11,0.181818181818182,11>5>13>3>9,3,2,0,1,0.181818181818182,3,1,1.33333333333333,0.4,1.77777777777778,0.181818181818182,0.615384615384615
2091,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,3,1,0,0,3>13>9>5>11,1,3,1,0,0.0,1,0,0.0,1.6,1.33333333333333,1.81818181818182,0.307692307692308
2093,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,0,0,0,0,0,on,13,1,0,0,13>3>5>9>11,3,1,1,0,0.0,3,0,0.666666666666667,0.8,0.888888888888889,1.45454545454545,0.0
2095,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,5,1,0,0,5>9>11>3>13,1,3,1,0,0.0,1,0,1.33333333333333,0.0,0.444444444444444,1.09090909090909,1.69230769230769
2097,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,0,0,0,0,0,on,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,3+9,2,0,0,3+9>11>5>13,1,2,2,0,0.0,1,0,0.0,1.2,0.0,0.727272727272727,1.38461538461538
2099,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,11,1,4/11,0.363636363636364,11>5>3>13>9,3,2,0,1,0.363636363636364,3,1,0.666666666666667,0.4,1.55555555555556,0.363636363636364,1.07692307692308
2101,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,0,0,0,0,0,on,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,11,1,0,0,11>13>9>3>5,1,3,1,0,0.0,1,0,1.33333333333333,1.6,1.11111111111111,0.0,0.769230769230769
2103,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,3,1,0,0,3>13>9>5>11,3,1,1,0,0.0,3,0,0.0,0.8,0.666666666666667,1.63636363636364,0.461538461538462
2105,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,5,1,0,0,5>13>9>3>11,3,1,1,0,0.0,3,0,0.666666666666667,0.0,0.222222222222222,1.27272727272727,0.153846153846154
2107,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,11,1,10/11,0.909090909090909,11>5>3>9>13,1,4,0,1,0.909090909090909,1,0,1.33333333333333,1.2,1.77777777777778,0.909090909090909,1.84615384615385
2109,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,3,1,0,0,3>5>11>9>13,2,2,1,0,0.0,2,0,0.0,0.4,1.33333333333333,0.545454545454545,1.53846153846154
2111,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,11,1,2/11,0.181818181818182,11>3>9>13>5,3,2,0,1,0.181818181818182,3,1,0.666666666666667,1.6,0.888888888888889,0.181818181818182,1.23076923076923
2113,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,9,1,4/9,0.444444444444444,9>5>13>3>11,3,2,0,1,0.444444444444444,3,1,1.33333333333333,0.8,0.444444444444444,1.81818181818182,0.923076923076923
2115,0,0,0,0,0,on,0,0,0,0,0,on,0,0,0,0,0,on,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,3+5+9,3,0,0,3+5+9>13>11,1,1,3,0,0.0,1,0,0.0,0.0,0.0,1.45454545454545,0.615384615384615
2117,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,13,1,4/13,0.307692307692308,13>3>11>5>9,2,3,0,1,0.307692307692308,2,0,0.666666666666667,1.2,1.55555555555556,1.09090909090909,0.307692307692308
2119,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,0,0,0,0,0,on,13,1,0,0,13>5>11>9>3,2,2,1,0,0.0,2,0,1.33333333333333,0.4,1.11111111111111,0.727272727272727,0.0
2121,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,3,1,0,0,3>11>9>5>13,2,2,1,0,0.0,2,0,0.0,1.6,0.666666666666667,0.363636363636364,1.69230769230769
2123,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,0,0,0,0,0,on,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,11,1,0,0,11>9>3>5>13,3,1,1,0,0.0,3,0,0.666666666666667,0.8,0.222222222222222,0.0,1.38461538461538
2125,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,5,1,0,0,5>13>3>11>9,0,4,1,0,0.0,0,0,1.33333333333333,0.0,1.77777777777778,1.63636363636364,1.07692307692308
2127,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,3,1,0,0,3>13>5>11>9,1,3,1,0,0.0,1,0,0.0,1.2,1.33333333333333,1.27272727272727,0.769230769230769
